
#天津,#genre#
东方财经,http://222.67.66.128:5555/udp/239.45.1.119:5140 -- 0.36 MB/s
东方财经,http://58.32.33.251:4022/udp/239.45.1.119:5140 -- 0.41 MB/s
五星体育,http://58.32.33.251:4022/udp/239.45.3.210:5140 -- 0.60 MB/s
五星体育,http://116.226.15.172:9999/udp/239.45.3.210:5140 -- 0.71 MB/s
五星体育,http://222.67.66.128:5555/udp/239.45.3.210:5140 -- 0.48 MB/s
五星体育,http://58.37.210.191:8888/udp/239.45.3.210:5140 -- 0.45 MB/s
五星体育,http://116.226.38.242:4022/udp/239.45.3.210:5140 -- 0.24 MB/s
健康人生,http://116.226.15.172:9999/udp/239.45.3.214:5140 -- 0.42 MB/s
健康人生,http://58.32.33.251:4022/udp/239.45.3.214:5140 -- 0.41 MB/s
健康人生,http://116.226.38.242:4022/udp/239.45.3.214:5140 -- 0.36 MB/s
健康人生,http://222.67.66.128:5555/udp/239.45.3.214:5140 -- 0.36 MB/s
全纪实,http://58.32.33.251:4022/udp/239.45.3.135:5140 -- 0.60 MB/s
全纪实,http://223.167.77.145:4022/udp/239.45.3.135:5140 -- 0.26 MB/s
全纪实,http://222.67.66.128:5555/udp/239.45.3.135:5140 -- 0.45 MB/s
全纪实,http://116.226.15.172:9999/udp/239.45.3.135:5140 -- 0.72 MB/s
动漫秀场,http://58.32.33.251:4022/udp/239.45.3.134:5140 -- 0.60 MB/s
动漫秀场,http://116.226.15.172:9999/udp/239.45.3.134:5140 -- 0.70 MB/s
动漫秀场,http://223.167.77.145:4022/udp/239.45.3.134:5140 -- 0.60 MB/s
动漫秀场,http://222.67.66.128:5555/udp/239.45.3.134:5140 -- 0.37 MB/s
哈哈炫动,http://116.226.15.172:9999/udp/239.45.1.55:5140 -- 0.47 MB/s
哈哈炫动,http://58.32.33.251:4022/udp/239.45.1.55:5140 -- 0.60 MB/s
哈哈炫动,http://222.67.66.128:5555/udp/239.45.1.55:5140 -- 0.44 MB/s
嘉定频道,http://223.167.77.145:4022/udp/239.45.3.185:5140 -- 0.14 MB/s
嘉定频道,http://222.67.66.128:5555/udp/239.45.3.185:5140 -- 0.17 MB/s
嘉定频道,http://116.226.15.172:9999/udp/239.45.3.185:5140 -- 0.17 MB/s
嘉定频道,http://58.32.33.251:4022/udp/239.45.3.185:5140 -- 0.17 MB/s
崇明电视,http://58.32.33.251:4022/udp/239.45.1.54:5140 -- 0.41 MB/s
崇明电视,http://223.167.77.145:4022/udp/239.45.1.54:5140 -- 0.35 MB/s
崇明电视,http://116.226.15.172:9999/udp/239.45.1.54:5140 -- 0.41 MB/s
崇明电视,http://116.226.38.242:4022/udp/239.45.1.54:5140 -- 0.10 MB/s
崇明电视,http://222.67.66.128:5555/udp/239.45.1.54:5140 -- 0.37 MB/s
教育台,http://223.167.77.145:4022/udp/239.45.3.122:5140 -- 0.23 MB/s
教育台,http://58.32.33.251:4022/udp/239.45.3.122:5140 -- 0.41 MB/s
教育台,http://222.67.66.128:5555/udp/239.45.3.122:5140 -- 0.37 MB/s
教育台,http://116.226.15.172:9999/udp/239.45.3.122:5140 -- 0.42 MB/s
欢笑剧场,http://58.32.33.251:4022/udp/239.45.3.196:5140 -- 0.60 MB/s
欢笑剧场,http://116.226.38.242:4022/udp/239.45.3.196:5140 -- 0.24 MB/s
欢笑剧场,http://116.226.15.172:9999/udp/239.45.3.196:5140 -- 0.70 MB/s
欢笑剧场,http://222.67.66.128:5555/udp/239.45.3.196:5140 -- 0.47 MB/s
欢笑剧场（备）,http://222.67.66.128:5555/udp/239.45.1.4:5140 -- 0.43 MB/s
欢笑剧场（备）,http://223.167.77.145:4022/udp/239.45.1.4:5140 -- 0.24 MB/s
欢笑剧场（备）,http://116.226.15.172:9999/udp/239.45.1.4:5140 -- 0.79 MB/s
欢笑剧场（备）,http://58.32.33.251:4022/udp/239.45.1.4:5140 -- 0.65 MB/s
法治天地,http://58.32.33.251:4022/udp/239.45.1.46:5140 -- 0.59 MB/s
法治天地,http://223.167.77.145:4022/udp/239.45.1.46:5140 -- 0.54 MB/s
法治天地,http://116.226.15.172:9999/udp/239.45.1.46:5140 -- 0.54 MB/s
法治天地,http://116.226.38.242:4022/udp/239.45.1.46:5140 -- 0.16 MB/s
法治天地,http://222.67.66.128:5555/udp/239.45.1.46:5140 -- 0.48 MB/s
浦东频道,http://116.226.15.172:9999/udp/239.45.3.248:5140 -- 0.31 MB/s
浦东频道,http://58.32.33.251:4022/udp/239.45.3.248:5140 -- 0.37 MB/s
浦东频道,http://223.167.77.145:4022/udp/239.45.3.248:5140 -- 0.31 MB/s
浦东频道,http://222.67.66.128:5555/udp/239.45.3.248:5140 -- 0.39 MB/s
游戏风云,http://116.226.15.172:9999/udp/239.45.3.131:5140 -- 0.70 MB/s
游戏风云,http://223.167.77.145:4022/udp/239.45.3.131:5140 -- 0.61 MB/s
游戏风云,http://58.32.33.251:4022/udp/239.45.3.131:5140 -- 0.60 MB/s
游戏风云,http://222.67.66.128:5555/udp/239.45.3.131:5140 -- 0.47 MB/s
游戏风云,http://58.37.210.191:8888/udp/239.45.3.131:5140 -- 0.73 MB/s
生活时尚,http://116.226.15.172:9999/udp/239.45.3.132:5140 -- 0.36 MB/s
生活时尚,http://58.37.210.191:8888/udp/239.45.3.132:5140 -- 0.73 MB/s
生活时尚,http://223.167.77.145:4022/udp/239.45.3.132:5140 -- 0.31 MB/s
生活时尚,http://58.32.33.251:4022/udp/239.45.3.132:5140 -- 0.58 MB/s
生活时尚,http://222.67.66.128:5555/udp/239.45.3.132:5140 -- 0.47 MB/s
百事通4K,http://58.32.33.251:4022/udp/239.45.1.42:5140 -- 0.64 MB/s
百事通4K,http://222.67.66.128:5555/udp/239.45.1.42:5140 -- 0.41 MB/s
百事通4K,http://116.226.15.172:9999/udp/239.45.1.42:5140 -- 0.76 MB/s
百事通超级体育,http://58.32.33.251:4022/udp/239.45.3.139:5140 -- 0.58 MB/s
百事通超级体育,http://116.226.38.242:4022/udp/239.45.3.139:5140 -- 0.22 MB/s
百事通超级体育,http://222.67.66.128:5555/udp/239.45.3.139:5140 -- 0.45 MB/s
百事通超级体育,http://223.167.77.145:4022/udp/239.45.3.139:5140 -- 0.42 MB/s
百事通超级体育,http://116.226.15.172:9999/udp/239.45.3.139:5140 -- 0.70 MB/s
都市剧场,http://222.67.66.128:5555/udp/239.45.3.136:5140 -- 0.46 MB/s
都市剧场,http://116.226.15.172:9999/udp/239.45.3.136:5140 -- 0.42 MB/s
都市剧场,http://58.32.33.251:4022/udp/239.45.3.136:5140 -- 0.60 MB/s
金色频道,http://222.67.66.128:5555/udp/239.45.1.118:5140 -- 0.30 MB/s
金色频道,http://58.32.33.251:4022/udp/239.45.1.118:5140 -- 0.30 MB/s
金色频道,http://116.226.15.172:9999/udp/239.45.1.118:5140 -- 0.27 MB/s
金色频道,http://223.167.77.145:4022/udp/239.45.1.118:5140 -- 0.11 MB/s
金色频道,http://116.226.38.242:4022/udp/239.45.1.118:5140 -- 0.27 MB/s

#北京,#genre#
4K超清,http://123.123.23.254:5400/rtp/239.3.1.249:8001 -- 0.35 MB/s
4K超清,http://223.72.24.180:8012/rtp/239.3.1.249:8001 -- 0.58 MB/s
4K超清,http://123.117.35.133:88/rtp/239.3.1.249:8001 -- 0.58 MB/s
4K超清,http://123.113.187.204:8000/rtp/239.3.1.249:8001 -- 0.19 MB/s
4K超清,http://221.217.129.155:8180/rtp/239.3.1.249:8001 -- 0.67 MB/s
4K超清,http://111.196.191.248:5555/rtp/239.3.1.249:8001 -- 0.13 MB/s
4K超清,http://123.120.203.36:8888/rtp/239.3.1.249:8001 -- 0.49 MB/s
4K超清,http://111.199.2.123:8686/rtp/239.3.1.249:8001 -- 0.70 MB/s
4K超清,http://123.113.186.22:9000/rtp/239.3.1.249:8001 -- 0.46 MB/s
4K超清,http://222.131.14.106:4000/rtp/239.3.1.249:8001 -- 0.67 MB/s
BRTV体育休闲,http://222.131.14.106:4000/rtp/239.3.1.243:8000 -- 0.63 MB/s
BRTV体育休闲,http://221.217.129.155:8180/rtp/239.3.1.243:8000 -- 0.22 MB/s
BRTV体育休闲,http://111.192.0.32:4022/rtp/239.3.1.243:8000 -- 0.37 MB/s
BRTV体育休闲,http://123.123.23.254:5400/rtp/239.3.1.243:8000 -- 0.37 MB/s
BRTV体育休闲,http://123.120.203.36:8888/rtp/239.3.1.243:8000 -- 0.54 MB/s
BRTV体育休闲,http://111.196.191.248:5555/rtp/239.3.1.243:8000 -- 0.16 MB/s
BRTV体育休闲,http://123.117.35.133:88/rtp/239.3.1.243:8000 -- 0.58 MB/s
BRTV体育休闲,http://111.199.2.123:8686/rtp/239.3.1.243:8000 -- 0.64 MB/s
BRTV体育休闲,http://223.72.24.180:8012/rtp/239.3.1.243:8000 -- 0.58 MB/s
BRTV体育休闲,http://123.113.186.22:9000/rtp/239.3.1.243:8000 -- 0.47 MB/s
BRTV北京卫视HD,http://123.120.203.36:8888/rtp/239.3.1.241:8000 -- 0.49 MB/s
BRTV北京卫视HD,http://221.217.129.155:8180/rtp/239.3.1.241:8000 -- 0.15 MB/s
BRTV北京卫视HD,http://123.123.23.254:5400/rtp/239.3.1.241:8000 -- 0.57 MB/s
BRTV北京卫视HD,http://223.72.24.180:8012/rtp/239.3.1.241:8000 -- 0.58 MB/s
BRTV北京卫视HD,http://222.131.14.106:4000/rtp/239.3.1.241:8000 -- 0.51 MB/s
BRTV北京卫视HD,http://111.199.2.123:8686/rtp/239.3.1.241:8000 -- 0.63 MB/s
BRTV北京卫视HD,http://123.117.35.133:88/rtp/239.3.1.241:8000 -- 0.57 MB/s
BRTV北京卫视HD,http://123.113.186.22:9000/rtp/239.3.1.241:8000 -- 0.47 MB/s
BRTV卡酷少儿HD,http://111.199.2.123:8686/rtp/239.3.1.189:8000 -- 0.64 MB/s
