
#天津,#genre#
石家庄娱乐,http://123.180.177.20:16000/rtp/239.253.92.93:8120 -- 0.40 MB/s
石家庄新闻,http://60.4.3.39:8888/rtp/239.253.92.149:6035 -- 0.14 MB/s
石家庄新闻,http://123.180.177.20:16000/rtp/239.253.92.149:6035 -- 0.45 MB/s
石家庄新闻,http://60.3.96.55:4022/rtp/239.253.92.149:6035 -- 0.74 MB/s
石家庄生活,http://123.180.177.20:16000/rtp/239.253.92.94:8121 -- 0.44 MB/s
石家庄生活,http://121.29.138.245:4022/rtp/239.253.92.94:8121 -- 0.58 MB/s
石家庄生活,http://60.3.96.55:4022/rtp/239.253.92.94:8121 -- 0.76 MB/s
石家庄都市,http://123.180.177.20:16000/rtp/239.253.92.95:8122 -- 0.43 MB/s
石家庄都市,http://60.3.96.55:4022/rtp/239.253.92.95:8122 -- 0.75 MB/s
石家庄都市,http://60.4.3.39:8888/rtp/239.253.92.95:8122 -- 0.46 MB/s
矿区电视,http://60.3.96.55:4022/rtp/239.253.92.215:6067 -- 0.73 MB/s
矿区电视,http://123.180.177.20:16000/rtp/239.253.92.215:6067 -- 0.39 MB/s
矿区电视,http://60.4.3.39:8888/rtp/239.253.92.215:6067 -- 0.34 MB/s
秦皇岛公共,http://60.3.96.55:4022/rtp/239.253.92.53:6022 -- 0.69 MB/s
秦皇岛公共,http://123.180.177.20:16000/rtp/239.253.92.53:6022 -- 0.40 MB/s
秦皇岛影视,http://60.4.3.39:8888/rtp/239.253.92.54:6023 -- 0.11 MB/s
秦皇岛影视,http://121.29.138.245:4022/rtp/239.253.92.54:6023 -- 0.57 MB/s
秦皇岛影视,http://123.180.177.20:16000/rtp/239.253.92.54:6023 -- 0.40 MB/s
秦皇岛影视,http://60.3.96.55:4022/rtp/239.253.92.54:6023 -- 0.68 MB/s
秦皇岛新闻,http://60.3.96.55:4022/rtp/239.253.92.52:6021 -- 0.70 MB/s
秦皇岛新闻,http://121.29.138.245:4022/rtp/239.253.92.52:6021 -- 0.57 MB/s
秦皇岛新闻,http://123.180.177.20:16000/rtp/239.253.92.52:6021 -- 0.22 MB/s
秦皇岛新闻,http://60.4.3.39:8888/rtp/239.253.92.52:6021 -- 0.50 MB/s
肃宁电视,http://123.180.177.20:16000/rtp/239.253.93.152:6320 -- 0.16 MB/s
肃宁电视,http://60.3.96.55:4022/rtp/239.253.93.152:6320 -- 0.40 MB/s
肃宁电视,http://60.4.3.39:8888/rtp/239.253.93.152:6320 -- 0.39 MB/s
肃宁电视,http://121.29.138.245:4022/rtp/239.253.93.152:6320 -- 0.40 MB/s
衡水公共,http://60.3.96.55:4022/rtp/239.253.93.7:6160 -- 0.73 MB/s
衡水公共,http://121.29.138.245:4022/rtp/239.253.93.7:6160 -- 0.58 MB/s
衡水公共,http://123.180.177.20:16000/rtp/239.253.93.7:6160 -- 0.38 MB/s
衡水新闻,http://60.3.96.55:4022/rtp/239.253.93.3:6154 -- 0.72 MB/s
衡水新闻,http://123.180.177.20:16000/rtp/239.253.93.3:6154 -- 0.42 MB/s
衡水新闻,http://60.4.3.39:8888/rtp/239.253.93.3:6154 -- 0.50 MB/s
赞皇电视,http://60.3.96.55:4022/rtp/239.253.92.12:6042 -- 0.27 MB/s
赞皇电视,http://60.4.3.39:8888/rtp/239.253.92.12:6042 -- 0.26 MB/s
赞皇电视,http://123.180.177.20:16000/rtp/239.253.92.12:6042 -- 0.17 MB/s
赤城电视,http://121.29.138.245:4022/rtp/239.253.93.160:6328 -- 0.46 MB/s
赤城电视,http://123.180.177.20:16000/rtp/239.253.93.160:6328 -- 0.22 MB/s
赤城电视,http://60.3.96.55:4022/rtp/239.253.93.160:6328 -- 0.51 MB/s
赤城电视,http://60.4.3.39:8888/rtp/239.253.93.160:6328 -- 0.40 MB/s
赵县电视,http://121.29.138.245:4022/rtp/239.253.93.140:6308 -- 0.48 MB/s
赵县电视,http://60.4.3.39:8888/rtp/239.253.93.140:6308 -- 0.43 MB/s
赵县电视,http://60.3.96.55:4022/rtp/239.253.93.140:6308 -- 0.57 MB/s
赵县电视,http://123.180.177.20:16000/rtp/239.253.93.140:6308 -- 0.38 MB/s
辽西综合,http://123.180.177.20:16000/rtp/239.253.92.247:6091 -- 0.17 MB/s
辽西综合,http://60.4.3.39:8888/rtp/239.253.92.247:6091 -- 0.21 MB/s
辽西综合,http://60.3.96.55:4022/rtp/239.253.92.247:6091 -- 0.24 MB/s
辽西综合,http://121.29.138.245:4022/rtp/239.253.92.247:6091 -- 0.23 MB/s
迁安综合,http://123.180.177.20:16000/rtp/239.253.93.113:6280 -- 0.19 MB/s
迁安综合,http://121.29.138.245:4022/rtp/239.253.93.113:6280 -- 0.22 MB/s
迁安综合,http://60.4.3.39:8888/rtp/239.253.93.113:6280 -- 0.22 MB/s
迁安综合,http://60.3.96.55:4022/rtp/239.253.93.113:6280 -- 0.22 MB/s
遵化综合,http://123.180.177.20:16000/rtp/239.253.93.177:6345 -- 0.35 MB/s
遵化综合,http://60.3.96.55:4022/rtp/239.253.93.177:6345 -- 0.71 MB/s
遵化综合,http://60.4.3.39:8888/rtp/239.253.93.177:6345 -- 0.45 MB/s
邢台城市,http://60.3.96.55:4022/rtp/239.253.93.10:6163 -- 0.68 MB/s
邢台综合,http://60.3.96.55:4022/rtp/239.253.93.8:6161 -- 0.67 MB/s
邢台综合,http://60.4.3.39:8888/rtp/239.253.93.8:6161 -- 0.48 MB/s
邢台综合,http://123.180.177.20:16000/rtp/239.253.93.8:6161 -- 0.43 MB/s
邯山综合,http://60.3.96.55:4022/rtp/239.253.93.146:6314 -- 0.25 MB/s
邯山综合,http://60.4.3.39:8888/rtp/239.253.93.146:6314 -- 0.24 MB/s
邯山综合,http://121.29.138.245:4022/rtp/239.253.93.146:6314 -- 0.25 MB/s
邯山综合,http://123.180.177.20:16000/rtp/239.253.93.146:6314 -- 0.18 MB/s
邯郸公共,http://123.180.177.20:16000/rtp/239.253.93.12:6165 -- 0.43 MB/s
邯郸公共,http://60.3.96.55:4022/rtp/239.253.93.12:6165 -- 0.69 MB/s
邯郸公共,http://60.4.3.39:8888/rtp/239.253.93.12:6165 -- 0.51 MB/s
邯郸科技,http://60.3.96.55:4022/rtp/239.253.93.13:6166 -- 0.71 MB/s
邯郸科技,http://123.180.177.20:16000/rtp/239.253.93.13:6166 -- 0.24 MB/s
邯鄣新闻,http://123.180.177.20:16000/rtp/239.253.93.11:6164 -- 0.42 MB/s
邯鄣新闻,http://60.3.96.55:4022/rtp/239.253.93.11:6164 -- 0.70 MB/s
邯鄣新闻,http://121.29.138.245:4022/rtp/239.253.93.11:6164 -- 0.55 MB/s
邱县电视,http://60.3.96.55:4022/rtp/239.253.93.158:6326 -- 0.72 MB/s
邱县电视,http://121.29.138.245:4022/rtp/239.253.93.158:6326 -- 0.56 MB/s
邱县电视,http://123.180.177.20:16000/rtp/239.253.93.158:6326 -- 0.44 MB/s
阜城综合,http://121.29.138.245:4022/rtp/239.253.93.168:6336 -- 0.32 MB/s
阜城综合,http://60.3.96.55:4022/rtp/239.253.93.168:6336 -- 0.33 MB/s
阜城综合,http://60.4.3.39:8888/rtp/239.253.93.168:6336 -- 0.30 MB/s
阜城综合,http://123.180.177.20:16000/rtp/239.253.93.168:6336 -- 0.22 MB/s
阜平电视,http://60.3.96.55:4022/rtp/239.253.93.16:6169 -- 0.73 MB/s
阜平电视,http://60.4.3.39:8888/rtp/239.253.93.16:6169 -- 0.39 MB/s
阜平电视,http://121.29.138.245:4022/rtp/239.253.93.16:6169 -- 0.58 MB/s
阜平电视,http://123.180.177.20:16000/rtp/239.253.93.16:6169 -- 0.36 MB/s
隆化综合,http://60.3.96.55:4022/rtp/239.253.93.174:6342 -- 0.71 MB/s
隆尧电视,http://60.4.3.39:8888/rtp/239.253.93.65:6230 -- 0.28 MB/s
隆尧电视,http://60.3.96.55:4022/rtp/239.253.93.65:6230 -- 0.30 MB/s
隆尧电视,http://123.180.177.20:16000/rtp/239.253.93.65:6230 -- 0.22 MB/s
霸州电视,http://60.3.96.55:4022/rtp/239.253.93.209:6387 -- 0.60 MB/s
霸州电视,http://123.180.177.20:16000/rtp/239.253.93.209:6387 -- 0.30 MB/s
霸州电视,http://121.29.138.245:4022/rtp/239.253.93.209:6387 -- 0.51 MB/s
青县综合,http://60.3.96.55:4022/rtp/239.253.93.139:6307 -- 0.25 MB/s
青县综合,http://121.29.138.245:4022/rtp/239.253.93.139:6307 -- 0.25 MB/s
青县综合,http://60.4.3.39:8888/rtp/239.253.93.139:6307 -- 0.22 MB/s
青县综合,http://123.180.177.20:16000/rtp/239.253.93.139:6307 -- 0.17 MB/s
青河电视,http://121.29.138.245:4022/rtp/239.253.93.44:6197 -- 0.58 MB/s
青河电视,http://60.3.96.55:4022/rtp/239.253.93.44:6197 -- 0.73 MB/s
青苑新闻,http://123.180.177.20:16000/rtp/239.253.93.24:6177 -- 0.21 MB/s
青苑新闻,http://60.3.96.55:4022/rtp/239.253.93.24:6177 -- 0.25 MB/s
青苑新闻,http://121.29.138.245:4022/rtp/239.253.93.24:6177 -- 0.25 MB/s
青苑新闻,http://60.4.3.39:8888/rtp/239.253.93.24:6177 -- 0.24 MB/s
顺平电视,http://60.4.3.39:8888/rtp/239.253.93.148:6316 -- 0.45 MB/s
顺平电视,http://60.3.96.55:4022/rtp/239.253.93.148:6316 -- 0.54 MB/s
顺平电视,http://121.29.138.245:4022/rtp/239.253.93.148:6316 -- 0.51 MB/s
顺平电视,http://123.180.177.20:16000/rtp/239.253.93.148:6316 -- 0.37 MB/s
饶阳电视,http://121.29.138.245:4022/rtp/239.253.93.40:6193 -- 0.47 MB/s
饶阳电视,http://123.180.177.20:16000/rtp/239.253.93.40:6193 -- 0.35 MB/s
饶阳电视,http://60.4.3.39:8888/rtp/239.253.93.40:6193 -- 0.44 MB/s
饶阳电视,http://60.3.96.55:4022/rtp/239.253.93.40:6193 -- 0.55 MB/s
馆陶综合,http://121.29.138.245:4022/rtp/239.253.93.115:6282 -- 0.25 MB/s
馆陶综合,http://60.4.3.39:8888/rtp/239.253.93.115:6282 -- 0.22 MB/s
馆陶综合,http://60.3.96.55:4022/rtp/239.253.93.115:6282 -- 0.25 MB/s
高碑店综合,http://121.29.138.245:4022/rtp/239.253.93.23:6176 -- 0.52 MB/s
高碑店综合,http://123.180.177.20:16000/rtp/239.253.93.23:6176 -- 0.38 MB/s
高碑店综合,http://60.3.96.55:4022/rtp/239.253.93.23:6176 -- 0.59 MB/s
高邑融媒,http://60.3.96.55:4022/rtp/239.253.92.160:6041 -- 0.42 MB/s
高邑融媒,http://121.29.138.245:4022/rtp/239.253.92.160:6041 -- 0.38 MB/s
魏县综合,http://60.3.96.55:4022/rtp/239.253.93.185:6353 -- 0.76 MB/s
魏县综合,http://121.29.138.245:4022/rtp/239.253.93.185:6353 -- 0.60 MB/s
魏县综合,http://60.4.3.39:8888/rtp/239.253.93.185:6353 -- 0.47 MB/s
魏县综合,http://123.180.177.20:16000/rtp/239.253.93.185:6353 -- 0.43 MB/s
鸡泽新闻,http://123.180.177.20:16000/rtp/239.253.93.64:6219 -- 0.37 MB/s
鸡泽新闻,http://60.3.96.55:4022/rtp/239.253.93.64:6219 -- 0.75 MB/s
鸡泽新闻,http://60.4.3.39:8888/rtp/239.253.93.64:6219 -- 0.49 MB/s
黄骅电视,http://123.180.177.20:16000/rtp/239.253.92.183:6047 -- 0.39 MB/s
黄骅电视,http://60.3.96.55:4022/rtp/239.253.92.183:6047 -- 0.73 MB/s

#山西,#genre#
东南卫视HD,http://118.79.114.155:6001/rtp/226.0.2.188:9416 -- 0.59 MB/s
东南卫视HD,http://60.220.167.161:8085/rtp/226.0.2.188:9416 -- 0.61 MB/s
东南卫视HD,http://171.120.203.41:8082/rtp/226.0.2.188:9416 -- 0.10 MB/s
东南卫视HD,http://60.220.167.41:8085/rtp/226.0.2.188:9416 -- 0.64 MB/s
东南卫视HD,http://171.116.193.73:8085/rtp/226.0.2.188:9416 -- 0.60 MB/s
东南卫视HD,http://171.120.108.108:8082/rtp/226.0.2.188:9416 -- 0.60 MB/s
东南卫视HD,http://183.186.67.27:8082/rtp/226.0.2.188:9416 -- 0.57 MB/s
东南卫视HD,http://61.134.235.130:5555/rtp/226.0.2.188:9416 -- 0.60 MB/s
东南卫视HD,http://171.120.203.41:8085/rtp/226.0.2.188:9416 -- 0.17 MB/s
东南卫视HD,http://171.120.214.175:8082/rtp/226.0.2.188:9416 -- 0.67 MB/s
东南卫视HD,http://171.116.226.57:8004/rtp/226.0.2.188:9416 -- 0.62 MB/s
东南卫视HD,http://183.191.226.144:8085/rtp/226.0.2.188:9416 -- 0.58 MB/s
东南卫视HD,http://183.188.29.9:6000/rtp/226.0.2.188:9416 -- 0.62 MB/s
东南卫视HD,http://183.184.62.217:8085/rtp/226.0.2.188:9416 -- 0.63 MB/s
东南卫视HD,http://171.120.109.82:8082/rtp/226.0.2.188:9416 -- 0.46 MB/s
东南卫视HD,http://171.120.213.30:8082/rtp/226.0.2.188:9416 -- 0.61 MB/s
东南卫视HD,http://171.120.180.15:8085/rtp/226.0.2.188:9416 -- 0.68 MB/s
东南卫视HD,http://118.79.7.128:6000/rtp/226.0.2.188:9416 -- 0.58 MB/s
东南卫视HD,http://171.117.74.91:8082/rtp/226.0.2.188:9416 -- 0.65 MB/s
东南卫视HD,http://183.185.129.160:8085/rtp/226.0.2.188:9416 -- 0.62 MB/s
东南卫视HD,http://60.220.167.236:8085/rtp/226.0.2.188:9416 -- 0.62 MB/s
东南卫视HD,http://171.116.226.57:8003/rtp/226.0.2.188:9416 -- 0.61 MB/s
东南卫视HD,http://60.220.167.141:8085/rtp/226.0.2.188:9416 -- 0.60 MB/s
东南卫视HD,http://171.120.109.82:8085/rtp/226.0.2.188:9416 -- 0.60 MB/s
东南卫视HD,http://116.179.92.93:8085/rtp/226.0.2.188:9416 -- 0.56 MB/s
东南卫视HD,http://171.117.71.155:8082/rtp/226.0.2.188:9416 -- 0.60 MB/s
东南卫视HD,http://171.120.108.108:8085/rtp/226.0.2.188:9416 -- 0.61 MB/s
东南卫视HD,http://171.117.74.91:8085/rtp/226.0.2.188:9416 -- 0.60 MB/s
古交电视台,http://183.184.62.217:8085/rtp/226.0.2.192:9448 -- 0.31 MB/s
古交电视台,http://171.120.203.41:8082/rtp/226.0.2.192:9448 -- 0.16 MB/s
古交电视台,http://60.220.167.141:8085/rtp/226.0.2.192:9448 -- 0.30 MB/s
古交电视台,http://171.116.226.57:8003/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://116.179.92.93:8085/rtp/226.0.2.192:9448 -- 0.31 MB/s
古交电视台,http://183.191.226.144:8085/rtp/226.0.2.192:9448 -- 0.34 MB/s
古交电视台,http://171.117.74.91:8085/rtp/226.0.2.192:9448 -- 0.28 MB/s
古交电视台,http://171.120.180.15:8085/rtp/226.0.2.192:9448 -- 0.31 MB/s
古交电视台,http://171.117.71.155:8082/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://60.220.167.161:8085/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://183.188.29.9:6000/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://60.220.167.41:8085/rtp/226.0.2.192:9448 -- 0.31 MB/s
古交电视台,http://171.120.109.82:8085/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://61.134.234.36:5555/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://171.116.193.73:8085/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://171.117.74.91:8082/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://118.81.197.85:8085/rtp/226.0.2.192:9448 -- 0.14 MB/s
古交电视台,http://171.120.108.108:8082/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://118.79.114.155:6001/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://61.134.235.130:5555/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://60.220.167.236:8085/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://171.120.109.82:8082/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://183.186.67.27:8082/rtp/226.0.2.192:9448 -- 0.30 MB/s
古交电视台,http://171.116.226.57:8004/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://118.79.7.128:6000/rtp/226.0.2.192:9448 -- 0.32 MB/s
古交电视台,http://183.185.129.160:8085/rtp/226.0.2.192:9448 -- 0.28 MB/s
四海钓鱼,http://110.177.146.152:888/rtp/239.1.1.111:8111 -- 0.26 MB/s
大同教育HD,http://171.120.203.41:8082/rtp/226.0.2.232:9772 -- 0.20 MB/s
大同教育HD,http://61.134.235.130:5555/rtp/226.0.2.232:9772 -- 0.64 MB/s
大同教育HD,http://183.184.62.217:8085/rtp/226.0.2.232:9772 -- 0.67 MB/s
大同教育HD,http://60.220.167.236:8085/rtp/226.0.2.232:9772 -- 0.63 MB/s
大同教育HD,http://183.186.67.27:8082/rtp/226.0.2.232:9772 -- 0.49 MB/s
大同教育HD,http://118.79.7.128:6000/rtp/226.0.2.232:9772 -- 0.59 MB/s
大同教育HD,http://171.117.74.91:8082/rtp/226.0.2.232:9772 -- 0.59 MB/s
大同教育HD,http://171.120.108.108:8082/rtp/226.0.2.232:9772 -- 0.61 MB/s
大同教育HD,http://171.116.226.57:8003/rtp/226.0.2.232:9772 -- 0.61 MB/s
大同教育HD,http://171.120.109.82:8085/rtp/226.0.2.232:9772 -- 0.59 MB/s
大同教育HD,http://183.188.29.9:6000/rtp/226.0.2.232:9772 -- 0.64 MB/s
大同教育HD,http://118.79.114.155:6001/rtp/226.0.2.232:9772 -- 0.59 MB/s
大同教育HD,http://171.117.71.155:8082/rtp/226.0.2.232:9772 -- 0.60 MB/s
大同教育HD,http://116.179.92.93:8085/rtp/226.0.2.232:9772 -- 0.56 MB/s
大同教育HD,http://183.185.129.160:8085/rtp/226.0.2.232:9772 -- 0.63 MB/s
大同教育HD,http://171.117.74.91:8085/rtp/226.0.2.232:9772 -- 0.59 MB/s
大同教育HD,http://183.191.226.144:8085/rtp/226.0.2.232:9772 -- 0.64 MB/s
大同教育HD,http://171.120.180.15:8085/rtp/226.0.2.232:9772 -- 0.66 MB/s
大同教育HD,http://118.81.197.85:8085/rtp/226.0.2.232:9772 -- 0.25 MB/s
大同教育HD,http://61.134.234.36:5555/rtp/226.0.2.232:9772 -- 0.62 MB/s
大同教育HD,http://171.116.226.57:8004/rtp/226.0.2.232:9772 -- 0.62 MB/s
大同教育HD,http://60.220.167.41:8085/rtp/226.0.2.232:9772 -- 0.66 MB/s
大同教育HD,http://60.220.167.141:8085/rtp/226.0.2.232:9772 -- 0.61 MB/s
大同教育HD,http://171.120.109.82:8082/rtp/226.0.2.232:9772 -- 0.60 MB/s
大同教育HD,http://60.220.167.161:8085/rtp/226.0.2.232:9772 -- 0.61 MB/s
大同教育HD,http://171.116.193.73:8085/rtp/226.0.2.232:9772 -- 0.60 MB/s
大同教育HD,http://171.120.108.108:8085/rtp/226.0.2.232:9772 -- 0.61 MB/s
太原1,http://171.117.74.91:8085/rtp/226.0.2.201:9520 -- 0.32 MB/s
太原1,http://171.116.226.57:8004/rtp/226.0.2.201:9520 -- 0.31 MB/s
太原1,http://171.120.109.82:8085/rtp/226.0.2.201:9520 -- 0.31 MB/s
太原1,http://60.220.167.236:8085/rtp/226.0.2.201:9520 -- 0.32 MB/s
太原1,http://118.81.197.85:8085/rtp/226.0.2.201:9520 -- 0.30 MB/s
太原1,http://116.179.92.93:8085/rtp/226.0.2.201:9520 -- 0.30 MB/s
太原1,http://171.116.226.57:8003/rtp/226.0.2.201:9520 -- 0.32 MB/s
太原1,http://171.117.74.91:8082/rtp/226.0.2.201:9520 -- 0.31 MB/s
太原1,http://60.220.167.161:8085/rtp/226.0.2.201:9520 -- 0.31 MB/s
太原1,http://183.185.129.160:8085/rtp/226.0.2.201:9520 -- 0.32 MB/s
太原1,http://171.120.108.108:8085/rtp/226.0.2.201:9520 -- 0.32 MB/s
太原1,http://183.186.67.27:8082/rtp/226.0.2.201:9520 -- 0.31 MB/s
太原1,http://183.191.226.144:8085/rtp/226.0.2.201:9520 -- 0.32 MB/s
太原1,http://118.79.7.128:6000/rtp/226.0.2.201:9520 -- 0.32 MB/s
太原1,http://171.120.203.41:8082/rtp/226.0.2.201:9520 -- 0.14 MB/s
太原1,http://183.188.29.9:6000/rtp/226.0.2.201:9520 -- 0.32 MB/s
太原1,http://171.117.71.155:8082/rtp/226.0.2.201:9520 -- 0.32 MB/s
太原1,http://60.220.167.141:8085/rtp/226.0.2.201:9520 -- 0.31 MB/s
太原1,http://171.120.108.108:8082/rtp/226.0.2.201:9520 -- 0.32 MB/s
太原1,http://61.134.235.130:5555/rtp/226.0.2.201:9520 -- 0.31 MB/s
太原1,http://118.79.114.155:6001/rtp/226.0.2.201:9520 -- 0.32 MB/s
太原1,http://171.120.109.82:8082/rtp/226.0.2.201:9520 -- 0.31 MB/s
太原1,http://60.220.167.41:8085/rtp/226.0.2.201:9520 -- 0.30 MB/s
太原2,http://183.185.129.160:8085/rtp/226.0.2.202:9528 -- 0.27 MB/s
太原2,http://171.120.108.108:8085/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://171.120.203.41:8085/rtp/226.0.2.202:9528 -- 0.17 MB/s
太原2,http://116.179.92.93:8085/rtp/226.0.2.202:9528 -- 0.30 MB/s
太原2,http://60.220.167.161:8085/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://60.220.167.236:8085/rtp/226.0.2.202:9528 -- 0.31 MB/s
太原2,http://183.188.29.9:6000/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://183.184.62.217:8085/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://118.79.114.155:6001/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://171.120.108.108:8082/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://171.116.226.57:8004/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://183.191.226.144:8085/rtp/226.0.2.202:9528 -- 0.31 MB/s
太原2,http://60.220.167.41:8085/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://183.186.67.27:8082/rtp/226.0.2.202:9528 -- 0.30 MB/s
太原2,http://61.134.235.130:5555/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://171.116.193.73:8085/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://171.120.109.82:8082/rtp/226.0.2.202:9528 -- 0.29 MB/s
太原2,http://118.79.7.128:6000/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://171.116.226.57:8003/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://171.120.180.15:8085/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://171.117.74.91:8085/rtp/226.0.2.202:9528 -- 0.31 MB/s
太原2,http://171.120.109.82:8085/rtp/226.0.2.202:9528 -- 0.58 MB/s
太原2,http://171.117.74.91:8082/rtp/226.0.2.202:9528 -- 0.31 MB/s
太原2,http://171.117.71.155:8082/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原2,http://60.220.167.141:8085/rtp/226.0.2.202:9528 -- 0.32 MB/s
太原3,http://183.185.175.133:8082/rtp/226.0.2.203:9536 -- 0.58 MB/s
太原3,http://183.188.29.9:6000/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://60.220.167.141:8085/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://116.179.92.93:8085/rtp/226.0.2.203:9536 -- 0.30 MB/s
太原3,http://61.134.235.130:5555/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://171.116.193.73:8085/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://171.120.180.15:8085/rtp/226.0.2.203:9536 -- 0.57 MB/s
太原3,http://171.120.180.15:8082/rtp/226.0.2.203:9536 -- 0.61 MB/s
太原3,http://183.191.226.144:8085/rtp/226.0.2.203:9536 -- 0.49 MB/s
太原3,http://118.81.197.85:8085/rtp/226.0.2.203:9536 -- 0.15 MB/s
太原3,http://171.120.108.108:8082/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://171.117.71.155:8082/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://171.120.203.41:8085/rtp/226.0.2.203:9536 -- 0.17 MB/s
太原3,http://171.120.109.82:8085/rtp/226.0.2.203:9536 -- 0.31 MB/s
太原3,http://183.184.62.217:8085/rtp/226.0.2.203:9536 -- 0.31 MB/s
太原3,http://60.220.167.161:8085/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://118.79.7.128:6000/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://171.120.108.108:8085/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://183.185.129.160:8085/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://171.117.74.91:8082/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://171.117.74.91:8085/rtp/226.0.2.203:9536 -- 0.31 MB/s
太原3,http://171.116.226.57:8004/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://171.116.226.57:8003/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://171.120.109.82:8082/rtp/226.0.2.203:9536 -- 0.31 MB/s
太原3,http://183.191.226.144:8082/rtp/226.0.2.203:9536 -- 0.37 MB/s
太原3,http://60.220.167.236:8085/rtp/226.0.2.203:9536 -- 0.31 MB/s
太原3,http://183.186.67.27:8082/rtp/226.0.2.203:9536 -- 0.30 MB/s
太原3,http://118.79.114.155:6001/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原3,http://60.220.167.41:8085/rtp/226.0.2.203:9536 -- 0.32 MB/s
太原4,http://183.188.29.9:6000/rtp/226.0.2.204:9544 -- 0.32 MB/s
太原4,http://171.120.180.15:8082/rtp/226.0.2.204:9544 -- 0.59 MB/s
太原4,http://183.191.226.144:8085/rtp/226.0.2.204:9544 -- 0.58 MB/s
太原4,http://171.120.109.82:8085/rtp/226.0.2.204:9544 -- 0.25 MB/s
太原4,http://171.120.180.15:8085/rtp/226.0.2.204:9544 -- 0.59 MB/s
太原4,http://171.120.203.41:8085/rtp/226.0.2.204:9544 -- 0.32 MB/s
太原4,http://171.120.108.108:8085/rtp/226.0.2.204:9544 -- 0.32 MB/s
太原4,http://183.184.62.217:8085/rtp/226.0.2.204:9544 -- 0.32 MB/s
太原4,http://171.116.193.73:8085/rtp/226.0.2.204:9544 -- 0.32 MB/s
太原4,http://171.120.203.41:8082/rtp/226.0.2.204:9544 -- 0.11 MB/s
太原4,http://171.116.226.57:8004/rtp/226.0.2.204:9544 -- 0.32 MB/s
太原4,http://183.186.67.27:8082/rtp/226.0.2.204:9544 -- 0.29 MB/s
太原4,http://171.117.74.91:8082/rtp/226.0.2.204:9544 -- 0.32 MB/s
太原4,http://171.117.71.155:8082/rtp/226.0.2.204:9544 -- 0.32 MB/s
太原4,http://61.134.235.130:5555/rtp/226.0.2.204:9544 -- 0.32 MB/s
太原4,http://183.191.226.144:8082/rtp/226.0.2.204:9544 -- 0.52 MB/s
太原4,http://171.120.108.108:8082/rtp/226.0.2.204:9544 -- 0.32 MB/s
太原4,http://183.185.129.160:8085/rtp/226.0.2.204:9544 -- 0.32 MB/s
太原4,http://116.179.92.93:8085/rtp/226.0.2.204:9544 -- 0.32 MB/s
太原4,http://118.79.7.128:6000/rtp/226.0.2.204:9544 -- 0.31 MB/s
太原4,http://171.117.74.91:8085/rtp/226.0.2.204:9544 -- 0.32 MB/s
